Gene	Cond0	Cond1	Cond2	Cond3	Cond4
VNG1224G	0.163039	-0.092389	0.000000	-2.152120	0.201082
VNG1718G	-2.030463	0.000000	0.320216	-0.720487	0.349327
VNG0540G	0.000000	0.032818	-0.049227	2.156142	-0.249417
VNG1377G	0.049717	0.452424	-0.119321	-2.088111	0.000000
VNG1021C	-0.153033	0.437238	-1.158681	1.595919	0.000000
VNG0841G	0.000000	0.371403	-1.653341	1.006381	-0.479229
VNG2346G	-1.613019	0.421311	-0.276861	1.083371	0.000000
VNG2226G	-0.420567	-0.051762	0.038822	2.089895	0.000000
VNG2244H	-0.329330	-0.125459	0.148983	2.124964	0.000000
VNG2344G	-0.520559	0.000000	-0.099433	2.041292	0.087735
VNG1058H	0.355554	-0.413603	0.000000	-1.988197	0.486165
VNG1713G	-2.148393	0.000000	0.140494	-0.848820	0.210742
VNG6188H	0.049402	0.000000	-0.111153	-2.142792	0.321110
VNG6262G	0.000000	0.050461	-0.156431	-2.225352	0.105969
VNG1585C	0.264335	-0.066084	0.000000	2.173418	-0.279020
VNG2088G	-2.125747	-0.013627	0.000000	0.040880	0.327038
VNG0439C	1.383894	0.000000	-0.390329	-1.301097	0.496782
VNG0062G	0.642463	-0.511793	0.000000	1.306704	-1.274037
VNG0019H	0.164623	-0.343772	0.000000	-1.801173	0.915112
VNG2047G	0.068534	-0.899508	0.154201	-2.193087	0.000000
VNG6210G	0.000000	0.141318	0.000000	2.261082	-0.022313
VNG0406C	0.718320	0.050586	0.000000	-1.952615	-0.141640
VNG6235G	0.787621	-0.039381	-1.785275	0.498827	0.000000
VNG1567G	-0.403272	0.004859	0.000000	2.098960	-0.014576
VNG1758H	0.000000	-0.382921	0.250071	-2.133418	0.242256
VNG2400H	0.150375	0.000000	-0.041011	2.153094	-0.314420
VNG2347G	-0.353311	0.169295	0.000000	2.105145	-0.169295
VNG1727G	0.388978	0.163371	0.000000	-2.069365	0.000000
VNG6441H	0.415587	-0.346322	0.000000	-2.089479	0.167389
VNG2394G	0.000000	-0.464853	-1.755221	0.953750	0.176324
VNG2624G	0.803582	0.341247	-0.033024	-1.827323	0.000000
VNG1343C	0.280982	0.000000	-0.005978	-1.721760	0.998381
VNG2361G	0.000000	0.981075	-1.394586	0.632429	-0.883778
VNG1714G	-1.906403	-0.430135	0.095586	0.775306	0.000000
VNG1562H	-0.653584	0.067433	0.000000	1.924443	-0.290482
VNG0426G	0.780610	0.000000	0.451019	-1.804077	-0.008673
VNG0098G	0.000000	-0.025607	0.108831	-2.086988	0.390510
VNG0158G	0.759460	-0.747593	-1.720652	0.000000	0.462796
VNG2020C	0.961935	0.000000	-0.100202	-1.733488	0.340685
VNG1313G	0.000000	0.397366	-0.341328	2.124382	-0.163022
VNG0539C	0.246425	0.000000	-1.220925	1.556960	-0.224023
VNG5068G	0.000000	-0.179238	0.063260	-2.045417	0.548256
VNG2141G	-0.630346	0.386803	0.000000	1.934016	-0.308010
VNG1306G	-0.671925	0.000000	0.095989	1.979778	-0.023997
VNG0402H	0.000000	0.009659	-0.111073	2.197311	-0.043463
VNG1692G	-1.406627	-0.120139	0.000000	1.416639	0.035041
VNG2191H	-0.625990	0.071135	-0.142270	1.977559	0.000000
VNG2576H	0.000000	0.000000	0.195042	-2.094898	0.296175
VNG1524C	-0.985690	0.487047	-0.069578	1.751050	0.000000
VNG2482G	0.000000	-0.542846	-2.092426	0.305968	0.276358
VNG0919G	0.161768	-0.822322	-0.876245	1.590721	0.000000
VNG0486G	0.000000	1.172156	-0.334902	0.958191	-1.283790
VNG1558H	-0.918962	0.000000	0.046530	1.787516	-0.228771
VNG1865H	0.000000	0.141227	-0.363155	2.111677	-0.121052
VNG2420G	1.322601	0.000000	-1.024270	-0.129277	1.262935
VNG2465C	-0.686282	0.000000	0.246633	1.726429	-0.739898
VNG1553G	-1.126466	0.012801	0.000000	1.612895	-0.364821
VNG0482H	1.624611	0.000000	-0.923276	0.923276	-0.221941
VNG2604G	-0.326440	-0.118275	0.000000	2.133689	0.198703
VNG1691G	-2.019924	0.000000	0.247933	-0.415652	0.503158
